language_code,word,definition,part_of_speech
en,father,"A male parent",noun
es,padre,"Progenitor masculino",noun
en,play,"Engage in games or recreation",verb
es,jugar,"Participar en juegos o recreación",verb
en,strong,"Having physical power",adjective
es,fuerte,"Que tiene poder físico",adjective
en,suddenly,"Quickly and unexpectedly",adverb
es,de repente,"Rápida e inesperadamente",adverb
en,student,"Person studying at a school",noun
es,estudiante,"Persona que estudia en una escuela",noun
en,learn,"Gain knowledge or skill",verb
es,aprender,"Adquirir conocimiento o habilidad",verb
en,weak,"Lacking physical strength",adjective
es,débil,"Que carece de fuerza física",adjective
en,probably,"Almost certainly",adverb
es,probablemente,"Casi con certeza",adverb
en,city,"Large town",noun
es,ciudad,"Población grande",noun
en,understand,"Perceive the meaning of",verb
es,entender,"Percibir el significado de",verb
en,clear,"Easy to perceive or understand",adjective
es,claro,"Fácil de percibir o entender",adjective
en,perhaps,"Possibly",adverb
es,quizás,"Posiblemente",adverb
en,music,"Vocal or instrumental sounds combined pleasingly",noun
es,música,"Sonidos vocales o instrumentales combinados agradablemente",noun
en,listen,"Pay attention to sound",verb
es,escuchar,"Prestar atención al sonido",verb
en,difficult,"Needing much effort or skill",adjective
es,difícil,"Que necesita mucho esfuerzo o habilidad",adjective
en,easily,"Without difficulty",adverb
es,fácilmente,"Sin dificultad",adverb
en,river,"Large natural stream of water",noun
es,río,"Gran corriente natural de agua",noun
en,walk,"Move at a regular pace by lifting and setting down each foot",verb
es,caminar,"Moverse a paso regular levantando y posando cada pie",verb
en,foreign,"Belonging to another country",adjective
es,extranjero,"Perteneciente a otro país",adjective
en,actually,"In fact or reality",adverb
es,actualmente,"De hecho o en realidad",adverb
en,air,"Invisible gaseous substance surrounding the earth",noun
es,aire,"Sustancia gaseosa invisible que rodea la tierra",noun
en,speak,"Say something",verb
es,hablar,"Decir algo",verb
en,hot,"Having a high degree of heat",adjective
es,caliente,"Que tiene un alto grado de calor",adjective
en,especially,"To a great extent; very much",adverb
es,especialmente,"En gran medida; muchísimo",adverb
