title,topics,difficulty,word1,definition1,word2,definition2,word3,definition3,word4,definition4,word5,definition5,word6,definition6,word7,definition7,word8,definition8,word9,definition9,word10,definition10,word11,definition11,word12,definition12
Los instrumentos musicales,Música,b1,guitarra,guitar,violín,violin,piano,piano,flauta,flute,batería,drums,saxofón,saxophone,trompeta,trumpet,clarinete,clarinet,arpa,harp,,,,,,
Los planetas,El espacio,b2,Mercurio,Mercury,Venus,Venus,Tierra,Earth,Marte,Mars,Júpiter,Jupiter,Saturno,Saturn,Urano,Uranus,Neptuno,Neptune,Luna,Moon,Sol,Sun,,,,
Los meses del año,El tiempo,a1,enero,January,febrero,February,marzo,March,abril,April,mayo,May,junio,June,julio,July,agosto,August,septiembre,September,octubre,October,noviembre,November,diciembre,December
Los días de la semana,El tiempo,a1,lunes,Monday,martes,Tuesday,miércoles,Wednesday,jueves,Thursday,viernes,Friday,sábado 1,Saturday,domingo,Sunday,,,,,,,,,,
Las partes de la casa,La casa,a2,techo,roof,pared,wall,suelo,floor,puerta,door,ventana,window,escaleras,stairs,chimenea,chimney,balcón,balcony 2,jardín,garden 3,ático,attic,,,,
Las prendas de vestir,Ropa,a1,camisa,shirt,pantalones,trousers,falda,skirt,vestido,dress,zapatos,shoes,calcetines,socks,abrigo,coat,guantes,gloves,bufanda,scarf,,,,,,
Los muebles del salón,La casa,a1,sofá,sofa,mesa,table,estantería,bookcase,alfombra,carpet,lámpara,lamp,cuadro,picture,espejo,mirror,cortinas,curtains,reloj,clock,,,,,,
Los utensilios de cocina,La cocina,a1,cuchara,spoon,tenedor,fork,cuchillo,knife,plato,plate,vaso,vase,olla,pot,sartén,frying pan,espátula,spatula,,,,,,,,
Las especias,La cocina,b2,sal,salt,pimienta,pepper,comino,cumin,pimentón,paprika,canela,cinnamon,clavo,clove,orégano,oregano,tomillo,thyme,romero,rosemary,,,,,,
Los árboles,La naturaleza,b1,pino,pine,roble,oak,abedul,birch,manzano,apple tree,cerezo,cherry tree,palmera,palm tree,eucalipto,eucalyptus,sauce,willow,,,,,,,,
Las flores,La naturaleza,b2,rosa,rose,girasol,sunflower,lirio,lily,tulipán,tulip,margarita,daisy,clavel,carnation,orquídea,orchid,lavanda,lavender,jazmín,jasmine,,,,,,
Los insectos,Los animales,c1,mariposa,butterfly,abeja,bee,hormiga,ant,mosca,fly,araña,spider,escarabajo,beetle,grillo,cricket,libélula,dragonfly,mariquita,ladybug,,,,,,
Las estaciones del año,El tiempo,a1,primavera,spring,verano,summer,otoño,autumn,invierno,winter,,,,,,,,,,,,,,,,
Los colores (más),Colores,a2,morado,purple,gris,gray,dorado,golden,plateado,silver,rosa,pink,turquesa,turquoise,beige,beige,celeste,light blue,,,,,,,,
Las formas (más),Formas,a2,hexágono,hexagon,pentágono,pentagon,óvalo,oval,cilindro,cylinder,cono,cone,esfera,sphere,cubo,cube,pirámide,pyramid,,,,,,,,
