verb_infinitive,verb_language_code,spanish_tense,spanish_mood,form_name,conjugated_form,is_irregular
hacer,es,presente,indicativo,yo,hago,Yes
hacer,es,presente,indicativo,tú,haces,No
hacer,es,presente,indicativo,él/ella/usted,hace,No
hacer,es,presente,indicativo,nosotros/nosotras,hacemos,No
hacer,es,presente,indicativo,vosotros/vosotras,hacéis,No
hacer,es,presente,indicativo,ellos/ellas/ustedes,hacen,No
hacer,es,pretérito indefinido,indicativo,yo,hice,Yes
hacer,es,pretérito indefinido,indicativo,tú,hiciste,Yes
hacer,es,pretérito indefinido,indicativo,él/ella/usted,hizo,Yes
hacer,es,pretérito indefinido,indicativo,nosotros/nosotras,hicimos,Yes
hacer,es,pretérito indefinido,indicativo,vosotros/vosotras,hicisteis,Yes
hacer,es,pretérito indefinido,indicativo,ellos/ellas/ustedes,hicieron,Yes
hacer,es,pretérito imperfecto,indicativo,yo,hacía,No
hacer,es,pretérito imperfecto,indicativo,tú,hacías,No
hacer,es,pretérito imperfecto,indicativo,él/ella/usted,hacía,No
hacer,es,pretérito imperfecto,indicativo,nosotros/nosotras,hacíamos,No
hacer,es,pretérito imperfecto,indicativo,vosotros/vosotras,hacíais,No
hacer,es,pretérito imperfecto,indicativo,ellos/ellas/ustedes,hacían,No
hacer,es,futuro simple,indicativo,yo,haré,Yes
hacer,es,futuro simple,indicativo,tú,harás,Yes
hacer,es,futuro simple,indicativo,él/ella/usted,hará,Yes
hacer,es,futuro simple,indicativo,nosotros/nosotras,haremos,Yes
hacer,es,futuro simple,indicativo,vosotros/vosotras,haréis,Yes
hacer,es,futuro simple,indicativo,ellos/ellas/ustedes,harán,Yes
hacer,es,condicional simple,indicativo,yo,haría,Yes
hacer,es,condicional simple,indicativo,tú,harías,Yes
hacer,es,condicional simple,indicativo,él/ella/usted,haría,Yes
hacer,es,condicional simple,indicativo,nosotros/nosotras,haríamos,Yes
hacer,es,condicional simple,indicativo,vosotros/vosotras,haríais,Yes
hacer,es,condicional simple,indicativo,ellos/ellas/ustedes,harían,Yes
hacer,es,presente perfecto,indicativo,yo,he hecho,Yes
hacer,es,presente perfecto,indicativo,tú,has hecho,Yes
hacer,es,presente perfecto,indicativo,él/ella/usted,ha hecho,Yes
hacer,es,presente perfecto,indicativo,nosotros/nosotras,hemos hecho,Yes
hacer,es,presente perfecto,indicativo,vosotros/vosotras,habéis hecho,Yes
hacer,es,presente perfecto,indicativo,ellos/ellas/ustedes,han hecho,Yes
hacer,es,pretérito pluscuamperfecto,indicativo,yo,había hecho,Yes
hacer,es,pretérito pluscuamperfecto,indicativo,tú,habías hecho,Yes
hacer,es,pretérito pluscuamperfecto,indicativo,él/ella/usted,había hecho,Yes
hacer,es,pretérito pluscuamperfecto,indicativo,nosotros/nosotras,habíamos hecho,Yes
hacer,es,pretérito pluscuamperfecto,indicativo,vosotros/vosotras,habíais hecho,Yes
hacer,es,pretérito pluscuamperfecto,indicativo,ellos/ellas/ustedes,habían hecho,Yes
hacer,es,futuro perfecto,indicativo,yo,habré hecho,Yes
hacer,es,futuro perfecto,indicativo,tú,habrás hecho,Yes
hacer,es,futuro perfecto,indicativo,él/ella/usted,habrá hecho,Yes
hacer,es,futuro perfecto,indicativo,nosotros/nosotras,habremos hecho,Yes
